long_name,county_name,state_abbr,state_name,region_name,division_name,fips
"AL, Autauga County",Autauga County,AL,Alabama,South,East South Central,1001.0
"AL, Baldwin County",Baldwin County,AL,Alabama,South,East South Central,1003.0
"AL, Barbour County",Barbour County,AL,Alabama,South,East South Central,1005.0
"AL, Bibb County",Bibb County,AL,Alabama,South,East South Central,1007.0
"AL, Blount County",Blount County,AL,Alabama,South,East South Central,1009.0
"AL, Bullock County",Bullock County,AL,Alabama,South,East South Central,1011.0
"AL, Butler County",Butler County,AL,Alabama,South,East South Central,1013.0
"AL, Calhoun County",Calhoun County,AL,Alabama,South,East South Central,1015.0
"AL, Chambers County",Chambers County,AL,Alabama,South,East South Central,1017.0
"AL, Cherokee County",Cherokee County,AL,Alabama,South,East South Central,1019.0
"AL, Chilton County",Chilton County,AL,Alabama,South,East South Central,1021.0
"AL, Choctaw County",Choctaw County,AL,Alabama,South,East South Central,1023.0
"AL, Clarke County",Clarke County,AL,Alabama,South,East South Central,1025.0
"AL, Clay County",Clay County,AL,Alabama,South,East South Central,1027.0
"AL, Cleburne County",Cleburne County,AL,Alabama,South,East South Central,1029.0
"AL, Coffee County",Coffee County,AL,Alabama,South,East South Central,1031.0
"AL, Colbert County",Colbert County,AL,Alabama,South,East South Central,1033.0
"AL, Conecuh County",Conecuh County,AL,Alabama,South,East South Central,1035.0
"AL, Coosa County",Coosa County,AL,Alabama,South,East South Central,1037.0
"AL, Covington County",Covington County,AL,Alabama,South,East South Central,1039.0
"AL, Crenshaw County",Crenshaw County,AL,Alabama,South,East South Central,1041.0
"AL, Cullman County",Cullman County,AL,Alabama,South,East South Central,1043.0
"AL, Dale County",Dale County,AL,Alabama,South,East South Central,1045.0
"AL, Dallas County",Dallas County,AL,Alabama,South,East South Central,1047.0
"AL, DeKalb County",DeKalb County,AL,Alabama,South,East South Central,1049.0
"AL, Elmore County",Elmore County,AL,Alabama,South,East South Central,1051.0
"AL, Escambia County",Escambia County,AL,Alabama,South,East South Central,1053.0
"AL, Etowah County",Etowah County,AL,Alabama,South,East South Central,1055.0
"AL, Fayette County",Fayette County,AL,Alabama,South,East South Central,1057.0
"AL, Franklin County",Franklin County,AL,Alabama,South,East South Central,1059.0
"AL, Geneva County",Geneva County,AL,Alabama,South,East South Central,1061.0
"AL, Greene County",Greene County,AL,Alabama,South,East South Central,1063.0
"AL, Hale County",Hale County,AL,Alabama,South,East South Central,1065.0
"AL, Henry County",Henry County,AL,Alabama,South,East South Central,1067.0
"AL, Houston County",Houston County,AL,Alabama,South,East South Central,1069.0
"AL, Jackson County",Jackson County,AL,Alabama,South,East South Central,1071.0
"AL, Jefferson County",Jefferson County,AL,Alabama,South,East South Central,1073.0
"AL, Lamar County",Lamar County,AL,Alabama,South,East South Central,1075.0
"AL, Lauderdale County",Lauderdale County,AL,Alabama,South,East South Central,1077.0
"AL, Lawrence County",Lawrence County,AL,Alabama,South,East South Central,1079.0
"AL, Lee County",Lee County,AL,Alabama,South,East South Central,1081.0
"AL, Limestone County",Limestone County,AL,Alabama,South,East South Central,1083.0
"AL, Lowndes County",Lowndes County,AL,Alabama,South,East South Central,1085.0
"AL, Macon County",Macon County,AL,Alabama,South,East South Central,1087.0
"AL, Madison County",Madison County,AL,Alabama,South,East South Central,1089.0
"AL, Marengo County",Marengo County,AL,Alabama,South,East South Central,1091.0
"AL, Marion County",Marion County,AL,Alabama,South,East South Central,1093.0
"AL, Marshall County",Marshall County,AL,Alabama,South,East South Central,1095.0
"AL, Mobile County",Mobile County,AL,Alabama,South,East South Central,1097.0
"AL, Monroe County",Monroe County,AL,Alabama,South,East South Central,1099.0
"AL, Montgomery County",Montgomery County,AL,Alabama,South,East South Central,1101.0
"AL, Morgan County",Morgan County,AL,Alabama,South,East South Central,1103.0
"AL, Perry County",Perry County,AL,Alabama,South,East South Central,1105.0
"AL, Pickens County",Pickens County,AL,Alabama,South,East South Central,1107.0
"AL, Pike County",Pike County,AL,Alabama,South,East South Central,1109.0
"AL, Randolph County",Randolph County,AL,Alabama,South,East South Central,1111.0
"AL, Russell County",Russell County,AL,Alabama,South,East South Central,1113.0
"AL, Shelby County",Shelby County,AL,Alabama,South,East South Central,1117.0
"AL, St. Clair County",St. Clair County,AL,Alabama,South,East South Central,1115.0
"AL, Sumter County",Sumter County,AL,Alabama,South,East South Central,1119.0
"AL, Talladega County",Talladega County,AL,Alabama,South,East South Central,1121.0
"AL, Tallapoosa County",Tallapoosa County,AL,Alabama,South,East South Central,1123.0
"AL, Tuscaloosa County",Tuscaloosa County,AL,Alabama,South,East South Central,1125.0
"AL, Walker County",Walker County,AL,Alabama,South,East South Central,1127.0
"AL, Washington County",Washington County,AL,Alabama,South,East South Central,1129.0
"AL, Wilcox County",Wilcox County,AL,Alabama,South,East South Central,1131.0
"AL, Winston County",Winston County,AL,Alabama,South,East South Central,1133.0
"AR, Arkansas County",Arkansas County,AR,Arkansas,South,West South Central,5001.0
"AR, Ashley County",Ashley County,AR,Arkansas,South,West South Central,5003.0
"AR, Baxter County",Baxter County,AR,Arkansas,South,West South Central,5005.0
"AR, Benton County",Benton County,AR,Arkansas,South,West South Central,5007.0
"AR, Boone County",Boone County,AR,Arkansas,South,West South Central,5009.0
"AR, Bradley County",Bradley County,AR,Arkansas,South,West South Central,5011.0
"AR, Calhoun County",Calhoun County,AR,Arkansas,South,West South Central,5013.0
"AR, Carroll County",Carroll County,AR,Arkansas,South,West South Central,5015.0
"AR, Chicot County",Chicot County,AR,Arkansas,South,West South Central,5017.0
"AR, Clark County",Clark County,AR,Arkansas,South,West South Central,5019.0
"AR, Clay County",Clay County,AR,Arkansas,South,West South Central,5021.0
"AR, Cleburne County",Cleburne County,AR,Arkansas,South,West South Central,5023.0
"AR, Cleveland County",Cleveland County,AR,Arkansas,South,West South Central,5025.0
"AR, Columbia County",Columbia County,AR,Arkansas,South,West South Central,5027.0
"AR, Conway County",Conway County,AR,Arkansas,South,West South Central,5029.0
"AR, Craighead County",Craighead County,AR,Arkansas,South,West South Central,5031.0
"AR, Crawford County",Crawford County,AR,Arkansas,South,West South Central,5033.0
"AR, Crittenden County",Crittenden County,AR,Arkansas,South,West South Central,5035.0
"AR, Cross County",Cross County,AR,Arkansas,South,West South Central,5037.0
"AR, Dallas County",Dallas County,AR,Arkansas,South,West South Central,5039.0
"AR, Desha County",Desha County,AR,Arkansas,South,West South Central,5041.0
"AR, Drew County",Drew County,AR,Arkansas,South,West South Central,5043.0
"AR, Faulkner County",Faulkner County,AR,Arkansas,South,West South Central,5045.0
"AR, Franklin County",Franklin County,AR,Arkansas,South,West South Central,5047.0
"AR, Fulton County",Fulton County,AR,Arkansas,South,West South Central,5049.0
"AR, Garland County",Garland County,AR,Arkansas,South,West South Central,5051.0
"AR, Grant County",Grant County,AR,Arkansas,South,West South Central,5053.0
"AR, Greene County",Greene County,AR,Arkansas,South,West South Central,5055.0
"AR, Hempstead County",Hempstead County,AR,Arkansas,South,West South Central,5057.0
"AR, Hot Spring County",Hot Spring County,AR,Arkansas,South,West South Central,5059.0
"AR, Howard County",Howard County,AR,Arkansas,South,West South Central,5061.0
"AR, Independence County",Independence County,AR,Arkansas,South,West South Central,5063.0
"AR, Izard County",Izard County,AR,Arkansas,South,West South Central,5065.0
"AR, Jackson County",Jackson County,AR,Arkansas,South,West South Central,5067.0
"AR, Jefferson County",Jefferson County,AR,Arkansas,South,West South Central,5069.0
"AR, Johnson County",Johnson County,AR,Arkansas,South,West South Central,5071.0
"AR, Lafayette County",Lafayette County,AR,Arkansas,South,West South Central,5073.0
"AR, Lawrence County",Lawrence County,AR,Arkansas,South,West South Central,5075.0
"AR, Lee County",Lee County,AR,Arkansas,South,West South Central,5077.0
"AR, Lincoln County",Lincoln County,AR,Arkansas,South,West South Central,5079.0
"AR, Little River County",Little River County,AR,Arkansas,South,West South Central,5081.0
"AR, Logan County",Logan County,AR,Arkansas,South,West South Central,5083.0
"AR, Lonoke County",Lonoke County,AR,Arkansas,South,West South Central,5085.0
"AR, Madison County",Madison County,AR,Arkansas,South,West South Central,5087.0
"AR, Marion County",Marion County,AR,Arkansas,South,West South Central,5089.0
"AR, Miller County",Miller County,AR,Arkansas,South,West South Central,5091.0
"AR, Mississippi County",Mississippi County,AR,Arkansas,South,West South Central,5093.0
"AR, Monroe County",Monroe County,AR,Arkansas,South,West South Central,5095.0
"AR, Montgomery County",Montgomery County,AR,Arkansas,South,West South Central,5097.0
"AR, Nevada County",Nevada County,AR,Arkansas,South,West South Central,5099.0
